stamp,elapsed,x,y,z,frame_id
1786514611.474157,0.000000,-0.008650,-0.041810,-1.554630,ndi
1786514611.489150,0.014993,-0.008660,-0.041810,-1.554630,ndi
1786514611.506620,0.032463,-0.008660,-0.041810,-1.554620,ndi
1786514611.524121,0.049964,-0.008650,-0.041820,-1.554640,ndi
1786514611.539111,0.064954,-0.008650,-0.041820,-1.554650,ndi
1786514611.556644,0.082487,-0.008650,-0.041800,-1.554660,ndi
1786514611.574216,0.100059,-0.008650,-0.041810,-1.554640,ndi
1786514611.589222,0.115065,-0.008660,-0.041820,-1.554620,ndi
1786514611.606591,0.132434,-0.008650,-0.041820,-1.554650,ndi
1786514611.624081,0.149924,-0.008640,-0.041800,-1.554660,ndi
1786514611.639104,0.164947,-0.008660,-0.041800,-1.554620,ndi
1786514611.656654,0.182497,-0.008650,-0.041820,-1.554620,ndi
1786514611.674122,0.199965,-0.008640,-0.041820,-1.554630,ndi
1786514611.689149,0.214992,-0.008660,-0.041810,-1.554620,ndi
1786514611.706646,0.232489,-0.008660,-0.041810,-1.554640,ndi
1786514611.721753,0.247597,-0.008660,-0.041820,-1.554640,ndi
1786514611.739125,0.264969,-0.008650,-0.041820,-1.554630,ndi
1786514611.756661,0.282504,-0.008650,-0.041800,-1.554620,ndi
1786514611.774173,0.300016,-0.008660,-0.041800,-1.554620,ndi
1786514611.789160,0.315003,-0.008650,-0.041820,-1.554660,ndi
1786514611.806625,0.332468,-0.008630,-0.041820,-1.554660,ndi
1786514611.821768,0.347611,-0.008650,-0.041810,-1.554650,ndi
1786514611.839111,0.364954,-0.008650,-0.041810,-1.554650,ndi
1786514611.856681,0.382524,-0.008650,-0.041820,-1.554640,ndi
1786514611.874216,0.400059,-0.008650,-0.041810,-1.554640,ndi
1786514611.889121,0.414964,-0.008650,-0.041800,-1.554630,ndi
1786514611.906639,0.432482,-0.008640,-0.041810,-1.554650,ndi
1786514611.921751,0.447594,-0.008650,-0.041820,-1.554670,ndi
1786514611.939139,0.464983,-0.008650,-0.041810,-1.554660,ndi
1786514611.956632,0.482476,-0.008650,-0.041800,-1.554660,ndi
1786514611.971831,0.497674,-0.008660,-0.041810,-1.554640,ndi
1786514611.989133,0.514977,-0.008640,-0.041810,-1.554650,ndi
1786514612.006649,0.532493,-0.008630,-0.041810,-1.554650,ndi
1786514612.024169,0.550012,-0.008650,-0.041810,-1.554630,ndi
1786514612.039086,0.564929,-0.008650,-0.041810,-1.554610,ndi
1786514612.056624,0.582468,-0.008660,-0.041810,-1.554630,ndi
1786514612.074181,0.600024,-0.008650,-0.041800,-1.554650,ndi
1786514612.089236,0.615080,-0.008650,-0.041800,-1.554630,ndi
1786514612.106773,0.632616,-0.008650,-0.041810,-1.554610,ndi
1786514612.124225,0.650068,-0.008650,-0.041810,-1.554620,ndi
1786514612.139089,0.664932,-0.008650,-0.041800,-1.554620,ndi
1786514612.156597,0.682440,-0.008650,-0.041810,-1.554620,ndi
1786514612.174166,0.700010,-0.008650,-0.041810,-1.554640,ndi
1786514612.189098,0.714941,-0.008640,-0.041810,-1.554640,ndi
1786514612.206667,0.732510,-0.008640,-0.041800,-1.554630,ndi
1786514612.224171,0.750014,-0.008650,-0.041800,-1.554640,ndi
1786514612.239104,0.764947,-0.008650,-0.041810,-1.554620,ndi
1786514612.256614,0.782457,-0.008650,-0.041810,-1.554620,ndi
1786514612.274163,0.800006,-0.008650,-0.041800,-1.554650,ndi
1786514612.289151,0.814994,-0.008660,-0.041800,-1.554660,ndi
1786514612.306668,0.832511,-0.008650,-0.041810,-1.554630,ndi
1786514612.324195,0.850038,-0.008640,-0.041800,-1.554630,ndi
1786514612.339103,0.864947,-0.008640,-0.041800,-1.554630,ndi
1786514612.356605,0.882448,-0.008650,-0.041800,-1.554620,ndi
1786514612.374212,0.900055,-0.008650,-0.041810,-1.554630,ndi
1786514612.389169,0.915012,-0.008640,-0.041810,-1.554630,ndi
1786514612.406804,0.932647,-0.008650,-0.041800,-1.554640,ndi
1786514612.424118,0.949961,-0.008650,-0.041800,-1.554620,ndi
1786514612.439145,0.964988,-0.008650,-0.041810,-1.554640,ndi
1786514612.456627,0.982470,-0.008650,-0.041800,-1.554620,ndi
1786514612.472049,0.997892,-0.008650,-0.041800,-1.554650,ndi
1786514612.489260,1.015104,-0.008650,-0.041810,-1.554660,ndi
1786514612.506818,1.032661,-0.008650,-0.041800,-1.554640,ndi
1786514612.521753,1.047596,-0.008650,-0.041790,-1.554650,ndi
1786514612.539155,1.064998,-0.008640,-0.041800,-1.554630,ndi
1786514612.556607,1.082450,-0.008650,-0.041810,-1.554640,ndi
1786514612.574236,1.100079,-0.008650,-0.041810,-1.554670,ndi
1786514612.589160,1.115004,-0.008630,-0.041800,-1.554650,ndi
1786514612.606824,1.132668,-0.008650,-0.041800,-1.554650,ndi
1786514612.621822,1.147666,-0.008640,-0.041810,-1.554640,ndi
1786514612.639138,1.164981,-0.008650,-0.041800,-1.554660,ndi
1786514612.656622,1.182466,-0.008640,-0.041790,-1.554670,ndi
1786514612.674200,1.200043,-0.008640,-0.041800,-1.554640,ndi
1786514612.689179,1.215023,-0.008650,-0.041810,-1.554650,ndi
1786514612.706795,1.232639,-0.008640,-0.041800,-1.554680,ndi
1786514612.721855,1.247698,-0.008640,-0.041800,-1.554680,ndi
1786514612.739119,1.264962,-0.008640,-0.041800,-1.554670,ndi
1786514612.756633,1.282476,-0.008650,-0.041800,-1.554660,ndi
1786514612.774057,1.299900,-0.008650,-0.041800,-1.554640,ndi
1786514612.789226,1.315069,-0.008640,-0.041800,-1.554660,ndi
1786514612.806752,1.332596,-0.008650,-0.041800,-1.554660,ndi
1786514612.824121,1.349964,-0.008640,-0.041810,-1.554670,ndi
1786514612.839140,1.364984,-0.008650,-0.041800,-1.554690,ndi
1786514612.856637,1.382480,-0.008650,-0.041800,-1.554660,ndi
1786514612.874290,1.400133,-0.008650,-0.041800,-1.554660,ndi
1786514612.889236,1.415080,-0.008640,-0.041800,-1.554660,ndi
1786514612.906847,1.432690,-0.008650,-0.041800,-1.554650,ndi
1786514612.924098,1.449941,-0.008650,-0.041800,-1.554630,ndi
1786514612.939120,1.464963,-0.008650,-0.041800,-1.554650,ndi
1786514612.956605,1.482448,-0.008650,-0.041800,-1.554630,ndi
1786514612.974166,1.500009,-0.008640,-0.041800,-1.554660,ndi
