set,set_name,trial,n_samples,duration_s,motion_time_s,n_segments,trans_err_mm,trans_err_max_mm,rot_err_deg,tip_radius_mm,radius_resid_mm,arc_subtend_deg,plane_rms_mm,noise_sigma_mm,settle_mm,settle_dwell_s,closure_mm,end_repeat_mm,traj_repeat_rms_mm,peak_speed_mms,mean_speed_mms,max_reach_mm
set1,1st Free Space Test,Exp 1,1202,20.0153,7.5851,1,0.7407,0.7407,,43.6839,0.0198,25.0800,0.0580,0.0158,0.0789,2.2175,,0.2460,0.1843,2.8458,2.5232,18.9913
set1,1st Free Space Test,Exp 2,760,12.6502,7.7503,1,0.5590,0.5590,,44.3074,0.0271,25.0483,0.0522,0.0061,0.0590,2.3001,,0.0360,0.0359,2.7830,2.4945,19.2604
set1,1st Free Space Test,Exp 3,612,10.1829,8.1829,1,0.4158,0.4158,,45.1813,0.0289,24.7271,0.0502,0.0082,,,,0.2111,0.1554,2.7622,2.3822,19.4162
set2,2nd Free Space Test,Exp 5,3676,61.2512,36.8855,2,0.6001,0.6001,8.2517,40.1167,0.1093,48.9511,0.0631,0.0104,1.7573,10.5827,2.4963,0.0737,0.0734,6.7802,3.7277,34.8930
set2,2nd Free Space Test,Exp 6,2878,47.9484,36.9156,2,0.5210,0.5210,8.1007,39.2939,0.1136,50.0438,0.0761,0.0097,0.0192,1.0826,2.4472,0.0460,0.0883,6.8776,3.7192,34.8800
set2,2nd Free Space Test,Exp 7,2922,48.6809,36.8510,2,0.5688,0.5688,8.1872,39.2074,0.1155,50.0800,0.0699,0.0105,0.0148,1.1498,2.4662,0.1166,0.0865,6.9547,3.7224,34.8565
set3a,3rd Free Space Test (Top Right),Exp 8,3755,62.5661,38.0982,2,0.5788,0.5788,3.2625,63.8040,0.0793,30.6174,0.0769,0.0086,0.0314,2.7999,1.0255,0.2656,0.2488,12.8121,3.5790,35.1439
set3a,3rd Free Space Test (Top Right),Exp 9,3117,51.9336,38.0159,2,0.8215,0.8215,3.6825,62.4511,0.0775,31.1009,0.0780,0.0130,0.0361,3.2174,1.2185,0.1256,0.1859,13.0911,3.5865,35.0424
set3a,3rd Free Space Test (Top Right),Exp 10,3137,52.2661,38.1859,2,0.7951,0.7951,4.0954,62.5943,0.0761,31.0787,0.0775,0.0149,0.0168,1.7501,1.3137,0.2149,0.1286,12.7042,3.5686,35.0578
set3b,3rd Free Space Test (Bottom Left),Exp 11,2973,49.5333,38.2833,2,0.9455,0.9455,1.5147,62.5856,0.0676,30.9548,0.0748,0.0210,0.0130,1.9000,0.7345,0.0717,0.0716,4.7269,3.6853,34.9005
set3b,3rd Free Space Test (Bottom Left),Exp 12,2819,46.9658,38.0006,2,0.9325,0.9325,1.7436,62.3294,0.0720,31.0850,0.0809,0.0225,0.0151,2.9000,0.7537,0.0614,0.0484,4.7678,3.7048,34.8688
set3b,3rd Free Space Test (Bottom Left),Exp 13,2836,47.2510,37.7356,2,0.9981,0.9981,1.7822,63.0063,0.0741,30.6715,0.0826,0.0153,0.0211,3.4002,0.7985,0.0980,0.0851,4.7814,3.7310,34.8380
set4a,4th Free Space Test (Bottom Mid),Exp 14,3689,61.4662,38.3333,3,0.5682,0.8382,119.9464,62.4860,0.0731,31.0947,0.0767,0.0193,0.1147,3.7977,,0.2298,0.1810,3.0396,2.0051,66.4745
set4a,4th Free Space Test (Bottom Mid),Exp 15,3103,51.6996,38.3832,3,0.5823,0.9273,119.0787,62.8075,0.0744,30.9021,0.0742,0.0291,0.0699,3.2501,,0.0755,0.0399,3.0905,2.0030,66.4721
set4a,4th Free Space Test (Bottom Mid),Exp 16,3676,61.2509,38.4656,3,0.5483,0.9186,120.8389,62.8717,0.0717,30.8013,0.0915,0.0163,0.1080,5.1000,,0.2702,0.1812,2.9730,2.0014,66.4230
set4b,4th Free Space Test (Bottom Right),Exp 17,2332,38.8507,23.1831,3,1.1673,1.3059,114.5201,45.1177,0.0219,20.5135,0.0995,0.0096,0.1063,3.0501,,1.4245,0.9087,2.9620,1.5636,31.8921
set4b,4th Free Space Test (Bottom Right),Exp 18,2174,36.2155,24.2508,3,0.6044,0.9988,98.1907,51.2935,0.0521,18.8505,0.1105,0.0078,0.0399,1.0824,,1.0102,0.6810,3.3742,1.6000,33.2194
set4b,4th Free Space Test (Bottom Right),Exp 19,2121,35.3331,24.1006,3,0.6838,1.0356,98.5537,45.1815,0.0883,21.2844,0.1732,0.0101,0.1802,4.2325,,0.4279,0.3393,3.2455,1.6071,32.8991
