set,set_name,trial,segment,type,commanded,measured,error,abs_error,circle_radius_mm,circle_resid_mm,t_start_s,t_end_s
set1,1st Free Space Test,Exp 1,1,translation,20.0000,19.2593,-0.7407,0.7407,,,10.198,17.783
set1,1st Free Space Test,Exp 2,1,translation,20.0000,19.4410,-0.5590,0.5590,,,2.583,10.333
set1,1st Free Space Test,Exp 3,1,translation,20.0000,19.5842,-0.4158,0.4158,,,2.000,10.183
set2,2nd Free Space Test,Exp 5,1,translation,35.0000,34.3999,-0.6001,0.6001,,,6.718,20.585
set2,2nd Free Space Test,Exp 5,2,rotation,360.0000,351.7483,-8.2517,8.2517,16.8588,0.4305,27.633,50.651
set2,2nd Free Space Test,Exp 6,1,translation,35.0000,34.4790,-0.5210,0.5210,,,5.615,19.515
set2,2nd Free Space Test,Exp 6,2,rotation,360.0000,351.8993,-8.1007,8.1007,16.8156,0.4337,23.833,46.848
set2,2nd Free Space Test,Exp 7,1,translation,35.0000,34.4312,-0.5688,0.5688,,,7.598,21.416
set2,2nd Free Space Test,Exp 7,2,rotation,360.0000,351.8128,-8.1872,8.1872,16.8155,0.4341,24.483,47.516
set3a,3rd Free Space Test (Top Right),Exp 8,1,translation,35.0000,34.4212,-0.5788,0.5788,,,9.700,22.983
set3a,3rd Free Space Test (Top Right),Exp 8,2,rotation,360.0000,356.7375,-3.2625,3.2625,16.4766,0.3253,34.933,59.749
set3a,3rd Free Space Test (Top Right),Exp 9,1,translation,35.0000,34.1785,-0.8215,0.8215,,,5.583,18.633
set3a,3rd Free Space Test (Top Right),Exp 9,2,rotation,360.0000,356.3175,-3.6825,3.6825,16.5317,0.3330,23.733,48.698
set3a,3rd Free Space Test (Top Right),Exp 10,1,translation,35.0000,34.2049,-0.7951,0.7951,,,4.750,17.851
set3a,3rd Free Space Test (Top Right),Exp 10,2,rotation,360.0000,355.9046,-4.0954,4.0954,16.5309,0.3360,25.416,50.501
set3b,3rd Free Space Test (Bottom Left),Exp 11,1,translation,35.0000,34.0545,-0.9455,0.9455,,,4.383,17.483
set3b,3rd Free Space Test (Bottom Left),Exp 11,2,rotation,360.0000,358.4853,-1.5147,1.5147,17.1537,0.1110,22.433,47.616
set3b,3rd Free Space Test (Bottom Left),Exp 12,1,translation,35.0000,34.0675,-0.9325,0.9325,,,2.768,15.883
set3b,3rd Free Space Test (Bottom Left),Exp 12,2,rotation,360.0000,358.2564,-1.7436,1.7436,17.1147,0.1082,19.165,44.051
set3b,3rd Free Space Test (Bottom Left),Exp 13,1,translation,35.0000,34.0019,-0.9981,0.9981,,,4.550,17.668
set3b,3rd Free Space Test (Bottom Left),Exp 13,2,rotation,360.0000,358.2178,-1.7822,1.7822,17.1256,0.1103,19.215,43.833
