stamp,elapsed,x,y,z,frame_id
1786504935.002193,0.000000,-0.060000,-0.144670,-2.397740,ndi
1786504935.019678,0.017485,-0.060000,-0.144710,-2.397620,ndi
1786504935.037513,0.035320,-0.060010,-0.144660,-2.397680,ndi
1786504935.052232,0.050039,-0.060000,-0.144680,-2.397710,ndi
1786504935.069637,0.067445,-0.060000,-0.144660,-2.397600,ndi
1786504935.087109,0.084917,-0.060020,-0.144690,-2.397600,ndi
1786504935.102082,0.099889,-0.060010,-0.144690,-2.397430,ndi
1786504935.119743,0.117551,-0.060010,-0.144730,-2.397910,ndi
1786504935.137212,0.135019,-0.060020,-0.144680,-2.397520,ndi
1786504935.152225,0.150033,-0.060010,-0.144710,-2.397690,ndi
1786504935.169611,0.167419,-0.060000,-0.144710,-2.397930,ndi
1786504935.187108,0.184916,-0.060010,-0.144700,-2.397630,ndi
1786504935.202226,0.200033,-0.060000,-0.144670,-2.397630,ndi
1786504935.219832,0.217639,-0.060020,-0.144690,-2.397510,ndi
1786504935.237461,0.235268,-0.060010,-0.144660,-2.397400,ndi
1786504935.252417,0.250225,-0.060010,-0.144670,-2.397620,ndi
1786504935.269614,0.267421,-0.060020,-0.144670,-2.397510,ndi
1786504935.287053,0.284860,-0.060030,-0.144660,-2.397310,ndi
1786504935.302065,0.299872,-0.060010,-0.144680,-2.397480,ndi
1786504935.319625,0.317432,-0.060000,-0.144740,-2.397870,ndi
1786504935.337194,0.335001,-0.060030,-0.144670,-2.397510,ndi
1786504935.352401,0.350208,-0.060030,-0.144730,-2.397780,ndi
1786504935.369607,0.367415,-0.060010,-0.144700,-2.397780,ndi
1786504935.387037,0.384844,-0.060020,-0.144690,-2.397750,ndi
1786504935.402259,0.400066,-0.060010,-0.144680,-2.397290,ndi
1786504935.419755,0.417562,-0.060000,-0.144700,-2.397600,ndi
1786504935.437244,0.435052,-0.060020,-0.144670,-2.397450,ndi
1786504935.452255,0.450062,-0.060020,-0.144660,-2.397340,ndi
1786504935.469602,0.467409,-0.060000,-0.144710,-2.397510,ndi
1786504935.486979,0.484787,-0.060020,-0.144690,-2.397460,ndi
1786504935.502222,0.500030,-0.060010,-0.144700,-2.397420,ndi
1786504935.519933,0.517740,-0.060010,-0.144730,-2.397960,ndi
1786504935.537443,0.535250,-0.060020,-0.144720,-2.397600,ndi
1786504935.552441,0.550248,-0.060030,-0.144720,-2.397710,ndi
1786504935.569551,0.567358,-0.060020,-0.144720,-2.397870,ndi
1786504935.587118,0.584925,-0.060000,-0.144660,-2.397390,ndi
1786504935.602280,0.600087,-0.060020,-0.144670,-2.397520,ndi
1786504935.619962,0.617769,-0.060010,-0.144670,-2.397370,ndi
1786504935.637173,0.634981,-0.060010,-0.144640,-2.397330,ndi
1786504935.652209,0.650016,-0.060010,-0.144670,-2.397360,ndi
1786504935.669640,0.667447,-0.060020,-0.144680,-2.397570,ndi
1786504935.687038,0.684846,-0.060010,-0.144670,-2.397500,ndi
1786504935.702321,0.700128,-0.059990,-0.144690,-2.397280,ndi
1786504935.719858,0.717665,-0.060010,-0.144700,-2.397690,ndi
1786504935.737402,0.735209,-0.060030,-0.144700,-2.397650,ndi
1786504935.752547,0.750354,-0.060010,-0.144670,-2.397520,ndi
1786504935.769626,0.767433,-0.060010,-0.144720,-2.397520,ndi
1786504935.787143,0.784950,-0.060000,-0.144690,-2.397410,ndi
1786504935.802166,0.799974,-0.060010,-0.144680,-2.397480,ndi
1786504935.819817,0.817624,-0.060010,-0.144660,-2.397410,ndi
1786504935.837413,0.835220,-0.060010,-0.144680,-2.397470,ndi
1786504935.852308,0.850115,-0.060010,-0.144710,-2.397900,ndi
1786504935.869664,0.867471,-0.060000,-0.144680,-2.397630,ndi
1786504935.887104,0.884911,-0.060000,-0.144710,-2.397640,ndi
1786504935.902308,0.900115,-0.060040,-0.144720,-2.397500,ndi
1786504935.920027,0.917835,-0.060020,-0.144730,-2.397580,ndi
1786504935.937578,0.935385,-0.060030,-0.144690,-2.397670,ndi
1786504935.952580,0.950387,-0.060020,-0.144740,-2.397630,ndi
1786504935.969606,0.967413,-0.060030,-0.144670,-2.397420,ndi
1786504935.987159,0.984966,-0.060020,-0.144710,-2.397660,ndi
1786504936.002145,0.999952,-0.060020,-0.144680,-2.397480,ndi
1786504936.019658,1.017466,-0.060020,-0.144670,-2.397520,ndi
1786504936.037216,1.035023,-0.060010,-0.144680,-2.397460,ndi
1786504936.052176,1.049983,-0.060040,-0.144690,-2.397670,ndi
1786504936.069632,1.067439,-0.060030,-0.144710,-2.397790,ndi
1786504936.087151,1.084958,-0.060020,-0.144740,-2.397830,ndi
1786504936.102329,1.100136,-0.060050,-0.144740,-2.397870,ndi
1786504936.119668,1.117475,-0.060040,-0.144700,-2.397460,ndi
1786504936.137582,1.135389,-0.060010,-0.144720,-2.397820,ndi
1786504936.152554,1.150361,-0.060000,-0.144740,-2.397850,ndi
1786504936.169670,1.167477,-0.060020,-0.144660,-2.397340,ndi
1786504936.187150,1.184957,-0.060000,-0.144680,-2.397480,ndi
1786504936.202542,1.200349,-0.060020,-0.144710,-2.397680,ndi
1786504936.220035,1.217842,-0.060000,-0.144680,-2.397360,ndi
1786504936.237614,1.235421,-0.060010,-0.144660,-2.397390,ndi
1786504936.252270,1.250077,-0.060010,-0.144680,-2.397650,ndi
1786504936.269594,1.267401,-0.060010,-0.144680,-2.397490,ndi
1786504936.287189,1.284996,-0.060020,-0.144680,-2.397670,ndi
1786504936.302172,1.299979,-0.060000,-0.144710,-2.397640,ndi
1786504936.319670,1.317477,-0.060020,-0.144740,-2.397940,ndi
1786504936.334780,1.332587,-0.060020,-0.144690,-2.397510,ndi
1786504936.352340,1.350147,-0.060020,-0.144720,-2.397590,ndi
1786504936.369648,1.367456,-0.060000,-0.144650,-2.397320,ndi
1786504936.387161,1.384968,-0.060030,-0.144680,-2.397270,ndi
1786504936.402349,1.400156,-0.060010,-0.144690,-2.397530,ndi
1786504936.420068,1.417875,-0.060020,-0.144690,-2.397510,ndi
1786504936.437516,1.435323,-0.060030,-0.144680,-2.397500,ndi
1786504936.452480,1.450287,-0.060000,-0.144650,-2.397300,ndi
1786504936.469623,1.467430,-0.060010,-0.144700,-2.397570,ndi
1786504936.487178,1.484985,-0.060010,-0.144730,-2.398000,ndi
1786504936.502506,1.500313,-0.060040,-0.144700,-2.397610,ndi
1786504936.520006,1.517814,-0.059990,-0.144700,-2.397670,ndi
1786504936.537491,1.535298,-0.060030,-0.144710,-2.397620,ndi
1786504936.552514,1.550321,-0.060020,-0.144680,-2.397400,ndi
1786504936.569648,1.567455,-0.060000,-0.144690,-2.397620,ndi
1786504936.587152,1.584959,-0.060020,-0.144670,-2.397260,ndi
1786504936.602346,1.600153,-0.060010,-0.144690,-2.397560,ndi
1786504936.619891,1.617699,-0.060000,-0.144690,-2.397620,ndi
1786504936.637423,1.635231,-0.059990,-0.144650,-2.397300,ndi
1786504936.652452,1.650259,-0.060020,-0.144670,-2.397410,ndi
