stamp,elapsed,x,y,z,frame_id
1786507690.986631,0.000000,-0.008380,-0.044360,-1.558070,ndi
1786507691.004112,0.017480,-0.008390,-0.044360,-1.558070,ndi
1786507691.019110,0.032479,-0.008380,-0.044360,-1.558100,ndi
1786507691.036762,0.050131,-0.008380,-0.044360,-1.558090,ndi
1786507691.054229,0.067598,-0.008380,-0.044370,-1.558070,ndi
1786507691.069165,0.082534,-0.008370,-0.044370,-1.558080,ndi
1786507691.086614,0.099983,-0.008390,-0.044360,-1.558060,ndi
1786507691.101645,0.115014,-0.008380,-0.044360,-1.558070,ndi
1786507691.119225,0.132593,-0.008380,-0.044370,-1.558080,ndi
1786507691.136856,0.150225,-0.008390,-0.044370,-1.558050,ndi
1786507691.151770,0.165138,-0.008380,-0.044360,-1.558090,ndi
1786507691.169160,0.182528,-0.008390,-0.044370,-1.558080,ndi
1786507691.186586,0.199954,-0.008390,-0.044370,-1.558050,ndi
1786507691.201776,0.215144,-0.008380,-0.044370,-1.558070,ndi
1786507691.219226,0.232594,-0.008390,-0.044360,-1.558080,ndi
1786507691.236798,0.250167,-0.008390,-0.044370,-1.558080,ndi
1786507691.251753,0.265121,-0.008390,-0.044380,-1.558060,ndi
1786507691.269209,0.282578,-0.008390,-0.044370,-1.558080,ndi
1786507691.286652,0.300020,-0.008380,-0.044370,-1.558090,ndi
1786507691.304247,0.317616,-0.008380,-0.044370,-1.558060,ndi
1786507691.319160,0.332529,-0.008390,-0.044370,-1.558060,ndi
1786507691.336715,0.350083,-0.008390,-0.044360,-1.558060,ndi
1786507691.351671,0.365040,-0.008380,-0.044370,-1.558090,ndi
1786507691.369148,0.382516,-0.008390,-0.044380,-1.558070,ndi
1786507691.386596,0.399964,-0.008390,-0.044370,-1.558060,ndi
1786507691.401742,0.415111,-0.008380,-0.044360,-1.558080,ndi
1786507691.419340,0.432708,-0.008390,-0.044370,-1.558060,ndi
1786507691.436816,0.450184,-0.008370,-0.044380,-1.558060,ndi
1786507691.451743,0.465111,-0.008380,-0.044380,-1.558090,ndi
1786507691.469177,0.482545,-0.008380,-0.044370,-1.558050,ndi
1786507691.486645,0.500013,-0.008380,-0.044370,-1.558080,ndi
1786507691.501862,0.515231,-0.008390,-0.044370,-1.558080,ndi
1786507691.519301,0.532670,-0.008380,-0.044380,-1.558070,ndi
1786507691.536860,0.550228,-0.008380,-0.044370,-1.558060,ndi
1786507691.554266,0.567635,-0.008400,-0.044370,-1.558070,ndi
1786507691.569176,0.582545,-0.008380,-0.044370,-1.558050,ndi
1786507691.586626,0.599994,-0.008400,-0.044380,-1.558110,ndi
1786507691.604196,0.617565,-0.008370,-0.044370,-1.558080,ndi
1786507691.619170,0.632539,-0.008390,-0.044360,-1.558080,ndi
1786507691.636795,0.650163,-0.008390,-0.044370,-1.558070,ndi
1786507691.654256,0.667624,-0.008370,-0.044390,-1.558080,ndi
1786507691.669160,0.682529,-0.008390,-0.044370,-1.558100,ndi
1786507691.686636,0.700004,-0.008380,-0.044360,-1.558070,ndi
1786507691.701680,0.715049,-0.008390,-0.044380,-1.558070,ndi
1786507691.719266,0.732635,-0.008380,-0.044390,-1.558060,ndi
