stamp,elapsed,x,y,z,frame_id
1786514734.306390,0.000000,-0.009130,-0.041360,-1.554940,ndi
1786514734.323957,0.017567,-0.009100,-0.041360,-1.554930,ndi
1786514734.338892,0.032503,-0.009130,-0.041370,-1.554920,ndi
1786514734.356378,0.049988,-0.009100,-0.041360,-1.554960,ndi
1786514734.373960,0.067570,-0.009110,-0.041360,-1.554900,ndi
1786514734.388989,0.082599,-0.009120,-0.041360,-1.554930,ndi
1786514734.406503,0.100114,-0.009100,-0.041370,-1.554920,ndi
1786514734.423941,0.117551,-0.009110,-0.041370,-1.554910,ndi
1786514734.438873,0.132483,-0.009090,-0.041360,-1.554940,ndi
1786514734.456329,0.149940,-0.009130,-0.041360,-1.554930,ndi
1786514734.474045,0.167655,-0.009110,-0.041370,-1.554930,ndi
1786514734.489053,0.182664,-0.009110,-0.041370,-1.554930,ndi
1786514734.506580,0.200190,-0.009120,-0.041350,-1.554910,ndi
1786514734.524197,0.217807,-0.009100,-0.041360,-1.554940,ndi
1786514734.538877,0.232487,-0.009120,-0.041380,-1.554930,ndi
1786514734.556358,0.249969,-0.009110,-0.041370,-1.554970,ndi
1786514734.573997,0.267607,-0.009120,-0.041360,-1.554920,ndi
1786514734.589062,0.282673,-0.009110,-0.041360,-1.554910,ndi
1786514734.606524,0.300135,-0.009100,-0.041370,-1.554930,ndi
1786514734.623893,0.317504,-0.009120,-0.041370,-1.554910,ndi
1786514734.638895,0.332505,-0.009100,-0.041360,-1.554900,ndi
1786514734.656398,0.350009,-0.009120,-0.041370,-1.554900,ndi
1786514734.673908,0.367519,-0.009120,-0.041380,-1.554920,ndi
1786514734.689044,0.382655,-0.009110,-0.041370,-1.554920,ndi
1786514734.706559,0.400169,-0.009130,-0.041360,-1.554910,ndi
1786514734.723934,0.417545,-0.009100,-0.041360,-1.554910,ndi
1786514734.738873,0.432483,-0.009120,-0.041370,-1.554880,ndi
1786514734.756377,0.449988,-0.009090,-0.041380,-1.554900,ndi
1786514734.773933,0.467543,-0.009100,-0.041370,-1.554900,ndi
1786514734.789037,0.482648,-0.009120,-0.041360,-1.554890,ndi
1786514734.806417,0.500027,-0.009090,-0.041370,-1.554900,ndi
1786514734.823964,0.517575,-0.009120,-0.041360,-1.554900,ndi
1786514734.838913,0.532523,-0.009100,-0.041360,-1.554920,ndi
1786514734.856375,0.549985,-0.009120,-0.041350,-1.554920,ndi
1786514734.873898,0.567508,-0.009120,-0.041360,-1.554900,ndi
1786514734.888952,0.582562,-0.009100,-0.041360,-1.554930,ndi
1786514734.906530,0.600140,-0.009130,-0.041350,-1.554940,ndi
1786514734.923909,0.617519,-0.009100,-0.041360,-1.554940,ndi
1786514734.938883,0.632493,-0.009100,-0.041360,-1.554950,ndi
1786514734.956425,0.650036,-0.009100,-0.041350,-1.554950,ndi
1786514734.973918,0.667528,-0.009090,-0.041350,-1.554940,ndi
1786514734.988962,0.682572,-0.009110,-0.041360,-1.554930,ndi
1786514735.006481,0.700091,-0.009090,-0.041360,-1.554930,ndi
1786514735.023917,0.717528,-0.009100,-0.041360,-1.554940,ndi
1786514735.038913,0.732523,-0.009110,-0.041350,-1.554920,ndi
1786514735.056406,0.750017,-0.009110,-0.041350,-1.554960,ndi
1786514735.074060,0.767670,-0.009110,-0.041350,-1.554970,ndi
1786514735.088992,0.782603,-0.009100,-0.041350,-1.554960,ndi
1786514735.106382,0.799993,-0.009110,-0.041340,-1.554970,ndi
1786514735.123922,0.817533,-0.009100,-0.041350,-1.554960,ndi
1786514735.138904,0.832515,-0.009090,-0.041360,-1.554980,ndi
1786514735.156385,0.849996,-0.009100,-0.041340,-1.554960,ndi
1786514735.173912,0.867522,-0.009090,-0.041330,-1.554980,ndi
1786514735.188895,0.882505,-0.009100,-0.041340,-1.554960,ndi
1786514735.206409,0.900019,-0.009090,-0.041350,-1.554940,ndi
1786514735.223881,0.917492,-0.009090,-0.041350,-1.554950,ndi
1786514735.238924,0.932534,-0.009120,-0.041350,-1.554930,ndi
1786514735.256369,0.949980,-0.009100,-0.041350,-1.554920,ndi
1786514735.273902,0.967513,-0.009110,-0.041350,-1.554950,ndi
1786514735.288920,0.982531,-0.009100,-0.041340,-1.554940,ndi
1786514735.306468,1.000078,-0.009100,-0.041340,-1.554940,ndi
1786514735.323996,1.017606,-0.009110,-0.041360,-1.554950,ndi
1786514735.338885,1.032495,-0.009100,-0.041360,-1.554950,ndi
1786514735.356380,1.049990,-0.009100,-0.041350,-1.554950,ndi
1786514735.374022,1.067633,-0.009100,-0.041350,-1.554930,ndi
1786514735.389061,1.082672,-0.009090,-0.041350,-1.554930,ndi
1786514735.406518,1.100128,-0.009090,-0.041350,-1.554930,ndi
1786514735.424031,1.117642,-0.009090,-0.041330,-1.554950,ndi
1786514735.438928,1.132538,-0.009120,-0.041340,-1.554910,ndi
1786514735.456376,1.149987,-0.009100,-0.041350,-1.554920,ndi
1786514735.474085,1.167695,-0.009100,-0.041360,-1.554930,ndi
1786514735.489094,1.182705,-0.009110,-0.041340,-1.554930,ndi
1786514735.506551,1.200161,-0.009090,-0.041340,-1.554960,ndi
1786514735.524016,1.217627,-0.009120,-0.041350,-1.554940,ndi
1786514735.538874,1.232485,-0.009080,-0.041350,-1.554960,ndi
1786514735.556403,1.250013,-0.009100,-0.041340,-1.554940,ndi
1786514735.574083,1.267694,-0.009120,-0.041340,-1.554900,ndi
1786514735.589084,1.282695,-0.009080,-0.041350,-1.554940,ndi
1786514735.606458,1.300069,-0.009100,-0.041340,-1.554930,ndi
1786514735.623939,1.317549,-0.009090,-0.041340,-1.554950,ndi
1786514735.638938,1.332549,-0.009090,-0.041330,-1.554960,ndi
1786514735.656408,1.350018,-0.009120,-0.041350,-1.554940,ndi
1786514735.673951,1.367562,-0.009100,-0.041350,-1.554940,ndi
1786514735.689102,1.382713,-0.009110,-0.041350,-1.554940,ndi
1786514735.706591,1.400201,-0.009100,-0.041350,-1.554950,ndi
1786514735.724003,1.417614,-0.009110,-0.041350,-1.554950,ndi
1786514735.738900,1.432510,-0.009100,-0.041340,-1.554930,ndi
1786514735.756379,1.449989,-0.009090,-0.041350,-1.554920,ndi
1786514735.773937,1.467548,-0.009110,-0.041340,-1.554940,ndi
1786514735.788969,1.482579,-0.009090,-0.041350,-1.554950,ndi
1786514735.806485,1.500096,-0.009110,-0.041350,-1.554940,ndi
1786514735.823925,1.517536,-0.009100,-0.041340,-1.554960,ndi
1786514735.838955,1.532565,-0.009090,-0.041340,-1.554940,ndi
1786514735.856370,1.549981,-0.009110,-0.041350,-1.554910,ndi
1786514735.873908,1.567518,-0.009090,-0.041350,-1.554930,ndi
1786514735.888964,1.582575,-0.009110,-0.041340,-1.554960,ndi
1786514735.906534,1.600144,-0.009100,-0.041350,-1.554930,ndi
1786514735.923899,1.617509,-0.009100,-0.041350,-1.554950,ndi
1786514735.938874,1.632485,-0.009110,-0.041340,-1.554940,ndi
1786514735.956388,1.649998,-0.009090,-0.041340,-1.554920,ndi
1786514735.973987,1.667598,-0.009110,-0.041350,-1.554940,ndi
1786514735.989062,1.682673,-0.009090,-0.041350,-1.554930,ndi
1786514736.006527,1.700137,-0.009090,-0.041350,-1.554940,ndi
1786514736.023960,1.717570,-0.009110,-0.041350,-1.554950,ndi
1786514736.039009,1.732620,-0.009100,-0.041350,-1.554940,ndi
1786514736.056379,1.749990,-0.009110,-0.041350,-1.554940,ndi
1786514736.073922,1.767533,-0.009100,-0.041350,-1.554950,ndi
1786514736.088944,1.782555,-0.009100,-0.041350,-1.554960,ndi
1786514736.106437,1.800047,-0.009110,-0.041350,-1.554950,ndi
1786514736.123883,1.817493,-0.009090,-0.041350,-1.554960,ndi
1786514736.138867,1.832478,-0.009100,-0.041350,-1.554940,ndi
1786514736.156378,1.849988,-0.009090,-0.041350,-1.554930,ndi
1786514736.173895,1.867505,-0.009100,-0.041350,-1.554920,ndi
