stamp,elapsed,x,y,z,frame_id
1786504668.784837,0.000000,0.658620,-0.152480,-2.575720,ndi
1786504668.802460,0.017623,0.658660,-0.152480,-2.575640,ndi
1786504668.820140,0.035303,0.658600,-0.152510,-2.575670,ndi
1786504668.834880,0.050043,0.658620,-0.152490,-2.575650,ndi
1786504668.852359,0.067522,0.658640,-0.152490,-2.575770,ndi
1786504668.869827,0.084990,0.658620,-0.152490,-2.575580,ndi
1786504668.887275,0.102438,0.658630,-0.152500,-2.575660,ndi
1786504668.902454,0.117617,0.658610,-0.152480,-2.575690,ndi
1786504668.920143,0.135306,0.658640,-0.152490,-2.575700,ndi
1786504668.937587,0.152750,0.658610,-0.152510,-2.575600,ndi
1786504668.952577,0.167740,0.658610,-0.152500,-2.575590,ndi
1786504668.969702,0.184865,0.658620,-0.152490,-2.575700,ndi
1786504668.984814,0.199977,0.658640,-0.152480,-2.575660,ndi
1786504669.002376,0.217539,0.658630,-0.152490,-2.575600,ndi
1786504669.019923,0.235086,0.658590,-0.152470,-2.575640,ndi
1786504669.037378,0.252541,0.658610,-0.152480,-2.575610,ndi
1786504669.052353,0.267516,0.658590,-0.152490,-2.575530,ndi
1786504669.069768,0.284931,0.658620,-0.152480,-2.575670,ndi
1786504669.084807,0.299970,0.658610,-0.152490,-2.575680,ndi
1786504669.102511,0.317674,0.658590,-0.152470,-2.575550,ndi
1786504669.120098,0.335261,0.658630,-0.152490,-2.575660,ndi
1786504669.137624,0.352787,0.658630,-0.152500,-2.575690,ndi
1786504669.152619,0.367782,0.658600,-0.152470,-2.575570,ndi
1786504669.169693,0.384856,0.658640,-0.152480,-2.575680,ndi
1786504669.184815,0.399978,0.658640,-0.152480,-2.575630,ndi
1786504669.202600,0.417763,0.658610,-0.152490,-2.575640,ndi
1786504669.220168,0.435331,0.658640,-0.152470,-2.575670,ndi
1786504669.237567,0.452730,0.658650,-0.152490,-2.575670,ndi
1786504669.252515,0.467678,0.658540,-0.152500,-2.575490,ndi
1786504669.269845,0.485008,0.658630,-0.152470,-2.575750,ndi
1786504669.287377,0.502540,0.658580,-0.152470,-2.575540,ndi
1786504669.302440,0.517603,0.658610,-0.152480,-2.575580,ndi
1786504669.319881,0.535044,0.658560,-0.152480,-2.575540,ndi
